receive_osal_time_us,estimated_measurement_osal_time_us,sequence_number,estimated_period_us,time_estimate_ready,time_discontinuity_detected,angle_deg,distance_m,signal_strength,measurement_valid
11857333,11855357,3293,1990.885937438412,1,0,-10.19999980926514,1.120000004768372,100,1
11859314,11857347,3294,1990.885937438412,1,0,-9.289999961853027,1.120000004768372,100,1
11861303,11859338,3295,1990.885937438412,1,0,-8.390000343322754,1.120000004768372,100,1
11863284,11861329,3296,1990.885937438412,1,0,-7.5,1.129999995231628,100,1
11865300,11863320,3297,1990.885937438412,1,0,-6.139999866485596,1.139999985694885,100,1
11867246,11865311,3298,1990.885937438412,1,0,-5.25,1.149999976158142,100,1
11869243,11867302,3299,1990.885937438412,1,0,-4.349999904632568,1.149999976158142,100,1
11871259,11869289,3300,1990.61674995073,1,0,-3.450000047683716,1.159999966621399,100,1
11873251,11871280,3301,1990.61674995073,1,0,-2.089999914169312,1.169999957084656,100,1
11875247,11873271,3302,1990.61674995073,1,0,-1.200000047683716,1.179999947547913,100,1
11877257,11875261,3303,1990.61674995073,1,0,-0.300000011920929,1.179999947547913,100,1
11879217,11877252,3304,1990.61674995073,1,0,0.5899999737739563,1.200000047683716,100,1
11881217,11879242,3305,1990.61674995073,1,0,1.490000009536743,1.210000038146973,100,1
11883180,11881233,3306,1990.61674995073,1,0,2.390000104904175,1.220000028610229,100,1
11885182,11883224,3307,1990.61674995073,1,0,3.740000009536743,1.220000028610229,100,1
11887164,11885214,3308,1990.61674995073,1,0,4.639999866485596,1.240000009536743,100,1
11889191,11887205,3309,1990.61674995073,1,0,5.550000190734863,1.25,100,1
11891137,11889196,3310,1990.61674995073,1,0,6.449999809265137,1.259999990463257,100,1
11893154,11891186,3311,1990.61674995073,1,0,7.349999904632568,1.269999980926514,100,1
11895148,11893177,3312,1990.61674995073,1,0,8.699999809265137,1.289999961853027,100,1
11897133,11895167,3313,1990.61674995073,1,0,9.590000152587891,1.580000042915344,100,1
11899140,11897158,3314,1990.61674995073,1,0,10.5,2.039999961853027,100,1
11901105,11899149,3315,1990.61674995073,1,0,11.39999961853027,2.079999923706055,100,1
11903093,11901139,3316,1990.61674995073,1,0,12.75,2.119999885559082,100,1
11905092,11903130,3317,1990.61674995073,1,0,13.64999961853027,1.889999985694885,100,1
11907072,11905121,3318,1990.61674995073,1,0,14.55000019073486,1.75,100,1
11909057,11907111,3319,1990.61674995073,1,0,15.44999980926514,1.710000038146973,100,1
11911036,11909102,3320,1990.61674995073,1,0,16.34000015258789,1.669999957084656,100,1
11913062,11911092,3321,1990.61674995073,1,0,17.69000053405762,1.629999995231628,100,1
11915018,11913083,3322,1990.61674995073,1,0,18.59000015258789,1.610000014305115,100,1
11917037,11915074,3323,1990.61674995073,1,0,19.48999977111816,1.590000033378601,97,1
11919031,11917064,3324,1990.61674995073,1,0,20.38999938964844,1.539999961853027,100,1
11921013,11919055,3325,1990.61674995073,1,0,21.73999977111816,1.25,100,1
11923021,11921045,3326,1990.61674995073,1,0,22.63999938964844,0.7900000214576721,100,1
11925002,11923036,3327,1990.61674995073,1,0,23.54999923706055,0.7599999904632568,100,1
